ts_utc,rows,bytes,table_size_pretty,files_done,workers,sevenz_procs,loader_etime_sec
2026-05-27T05:22:57Z,15113750,468937482240,437_GB,22,3,2,54454
2026-05-27T05:27:58Z,15179578,471395459072,439_GB,23,3,2,54755
2026-05-27T05:32:59Z,15204578,473063333888,441_GB,23,3,2,55056
2026-05-27T05:37:59Z,15254578,475406057472,443_GB,23,3,2,55356
2026-05-27T05:43:00Z,15304578,477430988800,445_GB,23,3,2,55657
2026-05-27T05:48:01Z,15339578,479366946816,446_GB,23,3,2,55958
2026-05-27T05:53:01Z,15436313,482295439360,449_GB,24,3,2,56258
2026-05-27T05:58:02Z,15551313,485491900416,452_GB,24,3,2,56559
2026-05-27T06:03:03Z,15661313,488668733440,455_GB,24,3,2,56860
2026-05-27T06:08:03Z,15761313,491387256832,458_GB,24,3,2,57160
2026-05-27T06:13:04Z,15781313,492820267008,459_GB,24,3,2,57461
2026-05-27T06:18:05Z,15801313,494693728256,461_GB,24,3,2,57762
2026-05-27T06:23:05Z,15846313,496956628992,463_GB,24,3,2,58062
2026-05-27T06:28:06Z,15916313,499483140096,465_GB,24,3,2,58363
2026-05-27T06:33:07Z,15991313,502107602944,468_GB,24,3,2,58664
2026-05-27T06:38:07Z,16066313,504423661568,470_GB,24,3,2,58964
2026-05-27T06:43:08Z,16116313,506390716416,472_GB,24,3,2,59265
2026-05-27T06:48:09Z,16192118,509089734656,474_GB,25,3,2,59566
2026-05-27T06:53:09Z,16242118,511461916672,476_GB,25,3,2,59866
2026-05-27T06:58:10Z,16337118,514577719296,479_GB,25,3,2,60167
2026-05-27T07:03:11Z,16422118,517680324608,482_GB,25,3,2,60468
2026-05-27T07:08:11Z,16558345,520819056640,485_GB,26,3,2,60768
2026-05-27T07:13:12Z,16678345,523975401472,488_GB,26,3,2,61069
2026-05-27T07:18:13Z,16793345,527073976320,491_GB,26,3,2,61370
2026-05-27T07:23:13Z,16898345,530059952128,494_GB,26,3,2,61672
2026-05-27T07:28:16Z,16968345,532228603904,496_GB,26,3,2,61973
2026-05-27T07:33:16Z,17033345,534553280512,498_GB,26,3,2,62274
2026-05-27T07:38:17Z,17113345,537334841344,500_GB,26,3,2,62574
2026-05-27T07:43:18Z,17208345,540106457088,503_GB,26,3,2,62875
2026-05-27T07:48:19Z,17288345,542758567936,505_GB,26,3,2,63176
2026-05-27T07:53:19Z,17323345,544529383424,507_GB,26,3,2,63476
2026-05-27T07:58:20Z,17424125,547627900928,510_GB,27,3,2,63777
2026-05-27T08:03:21Z,17534125,550645497856,513_GB,27,3,2,64078
2026-05-27T08:08:21Z,17609125,553400352768,515_GB,27,3,2,64379
2026-05-27T08:13:22Z,17694125,556231155712,518_GB,27,3,2,64679
2026-05-27T08:18:23Z,17819507,559479685120,521_GB,28,3,2,64980
2026-05-27T08:23:24Z,17929507,562549645312,524_GB,28,3,2,65281
2026-05-27T08:28:24Z,18019507,565466923008,527_GB,28,3,2,65581
2026-05-27T08:33:25Z,18129507,568092901376,529_GB,28,3,2,65882
2026-05-27T08:38:26Z,18199507,570614915072,531_GB,28,3,2,66183
2026-05-27T08:43:27Z,18304507,573476651008,534_GB,28,3,2,66484
2026-05-27T08:48:27Z,18379507,576282370048,537_GB,28,3,2,66784
2026-05-27T08:53:28Z,18489507,579193184256,539_GB,28,3,2,67085
2026-05-27T08:58:29Z,18569507,581785296896,542_GB,28,3,2,67386
2026-05-27T09:03:30Z,18634507,584599486464,544_GB,28,3,2,67687
2026-05-27T09:08:30Z,18753924,587499454464,547_GB,29,3,2,67987
2026-05-27T09:13:31Z,18818924,590210228224,550_GB,29,3,2,68288
2026-05-27T09:18:32Z,18858924,592271368192,552_GB,29,3,2,68589
2026-05-27T09:23:33Z,18941749,594868183040,554_GB,30,3,2,68890
2026-05-27T09:28:33Z,19036749,597662351360,557_GB,30,3,2,69191
2026-05-27T09:33:34Z,19131749,600507326464,559_GB,30,3,2,69491
2026-05-27T09:38:35Z,19256749,603598897152,562_GB,30,3,2,69792
2026-05-27T09:43:36Z,19366749,606506393600,565_GB,30,3,2,70093
2026-05-27T09:48:36Z,19456749,609001234432,567_GB,30,3,2,70394
2026-05-27T09:53:37Z,19551749,611508346880,570_GB,30,3,2,70694
2026-05-27T09:58:38Z,19606749,613743869952,572_GB,30,3,2,70995
2026-05-27T10:03:39Z,19681749,616064360448,574_GB,30,3,2,71296
2026-05-27T10:08:40Z,19761749,618435305472,576_GB,30,3,2,71597
2026-05-27T10:13:40Z,19846749,621161734144,579_GB,30,3,2,71898
2026-05-27T10:18:41Z,19971749,624351625216,581_GB,30,3,2,72198
2026-05-27T10:23:42Z,20057933,627278929920,584_GB,31,3,2,72499
2026-05-27T10:28:43Z,20152933,630319579136,587_GB,31,3,2,72800
2026-05-27T10:33:44Z,20262933,633328500736,590_GB,31,3,2,73101
2026-05-27T10:38:44Z,20344897,636380200960,593_GB,32,3,2,73401
2026-05-27T10:43:45Z,20384897,638402461696,595_GB,32,3,2,73702
2026-05-27T10:48:46Z,20469897,641254604800,597_GB,32,3,2,74003
2026-05-27T10:53:47Z,20574897,644349206528,600_GB,32,3,2,74304
2026-05-27T10:58:47Z,20654897,647160332288,603_GB,32,3,2,74605
2026-05-27T11:03:48Z,20744897,649957040128,605_GB,32,3,2,74906
2026-05-27T11:08:49Z,20834897,652288450560,607_GB,32,3,2,75206
2026-05-27T11:13:50Z,20969897,655406514176,610_GB,32,3,2,75507
2026-05-27T11:18:51Z,21049897,658113961984,613_GB,32,3,2,75808
2026-05-27T11:23:52Z,21129897,660969930752,616_GB,32,3,2,76109
2026-05-27T11:28:52Z,21184897,663184531456,618_GB,32,3,2,76410
2026-05-27T11:33:53Z,21300138,666085081088,620_GB,33,3,2,76710
2026-05-27T11:38:54Z,21395138,669041811456,623_GB,33,3,2,77011
2026-05-27T11:43:55Z,21510138,672157089792,626_GB,33,3,2,77312
2026-05-27T11:48:56Z,21595138,674881126400,629_GB,33,3,2,77613
2026-05-27T11:53:56Z,21715474,677898838016,631_GB,34,3,2,77914
2026-05-27T11:58:57Z,21840474,681182019584,634_GB,34,3,2,78214
2026-05-27T12:03:58Z,21960474,684495159296,637_GB,34,3,2,78515
2026-05-27T12:08:59Z,22060474,687224430592,640_GB,34,3,2,78816
2026-05-27T12:14:00Z,22155474,690068103168,643_GB,34,3,2,79117
2026-05-27T12:19:01Z,22240474,692491968512,645_GB,34,3,2,79418
2026-05-27T12:24:01Z,22350474,695251550208,648_GB,34,3,2,79719
2026-05-27T12:29:02Z,22460474,698112802816,650_GB,34,3,2,80020
2026-05-27T12:34:03Z,22535474,700655353856,653_GB,34,3,2,80320
2026-05-27T12:39:04Z,22594840,702983053312,655_GB,35,3,2,80621
2026-05-27T12:44:05Z,22679840,705867440128,657_GB,35,3,2,80922
2026-05-27T12:49:06Z,22739840,708331798528,660_GB,35,3,2,81223
2026-05-27T12:54:07Z,22809840,711284277248,662_GB,35,3,2,81524
2026-05-27T12:59:07Z,22869840,713501876224,665_GB,35,3,2,81825
2026-05-27T13:04:08Z,22960196,716633980928,667_GB,36,3,2,82126
2026-05-27T13:09:09Z,23090196,719935651840,670_GB,36,3,2,82426
2026-05-27T13:14:10Z,23180196,722861842432,673_GB,36,3,2,82727
2026-05-27T13:19:11Z,23325196,726308741120,676_GB,36,3,2,83028
2026-05-27T13:24:12Z,23440196,729255895040,679_GB,36,3,2,83329
2026-05-27T13:29:12Z,23565196,732097978368,682_GB,36,3,2,83630
2026-05-27T13:34:13Z,23640196,734660255744,684_GB,36,3,2,83931
2026-05-27T13:39:14Z,23700196,736992813056,686_GB,36,3,2,84232
2026-05-27T13:44:15Z,23805196,739927146496,689_GB,36,3,2,84532
2026-05-27T13:49:16Z,23888335,742509338624,692_GB,37,3,2,84833
2026-05-27T13:54:17Z,23983335,745387368448,694_GB,37,3,2,85134
2026-05-27T13:59:18Z,24053335,747939831808,697_GB,37,3,2,85435
2026-05-27T14:04:19Z,24128335,750572412928,699_GB,37,3,2,85736
2026-05-27T14:09:20Z,24309759,754229682176,702_GB,38,3,2,86037
2026-05-27T14:14:20Z,24414759,757457969152,705_GB,38,3,2,86338
2026-05-27T14:19:21Z,24434759,759066181632,707_GB,38,3,2,86639
2026-05-27T14:24:22Z,24524759,761955655680,710_GB,38,3,2,86939
2026-05-27T14:29:23Z,24629759,765082697728,713_GB,38,3,2,87240
2026-05-27T14:34:24Z,24699759,767585017856,715_GB,38,3,2,87541
2026-05-27T14:39:25Z,24794759,770500468736,718_GB,38,3,2,87842
2026-05-27T14:44:26Z,24834759,772426424320,719_GB,38,3,2,88143
2026-05-27T14:49:27Z,24914759,775274668032,722_GB,38,3,2,88444
2026-05-27T14:54:27Z,24954759,776962514944,724_GB,38,3,2,88745
2026-05-27T14:59:28Z,24963674,778492190720,725_GB,39,3,2,89046
2026-05-27T15:04:29Z,25043674,781155844096,728_GB,39,3,2,89346
2026-05-27T15:09:30Z,25133674,784006438912,730_GB,39,3,2,89647
2026-05-27T15:14:31Z,25248674,786732998656,733_GB,39,3,2,89948
2026-05-27T15:19:32Z,25373674,789893341184,736_GB,39,3,2,90249
2026-05-27T15:24:33Z,25473674,792616132608,738_GB,39,3,2,90550
2026-05-27T15:29:34Z,25573674,795611627520,741_GB,39,3,2,90851
2026-05-27T15:34:35Z,25618674,797537705984,743_GB,39,3,2,91152
2026-05-27T15:39:35Z,25633674,798997807104,744_GB,39,3,2,91453
2026-05-27T15:44:36Z,25678674,801085530112,746_GB,39,3,2,91754
2026-05-27T15:49:37Z,25808983,804305043456,749_GB,40,3,2,92055
2026-05-27T15:54:38Z,25898983,807327522816,752_GB,40,3,2,92355
2026-05-27T15:59:39Z,26058983,810713735168,755_GB,40,3,2,92656
2026-05-27T16:04:40Z,26178983,813567025152,758_GB,40,3,2,92957
2026-05-27T16:09:41Z,26263661,815924715520,760_GB,41,3,2,93258
2026-05-27T16:14:42Z,26393661,818767036416,763_GB,41,3,2,93559
2026-05-27T16:19:43Z,26498661,821770756096,765_GB,41,3,2,93860
2026-05-27T16:24:44Z,26583661,824132460544,768_GB,41,3,2,94161
2026-05-27T16:29:45Z,26673661,826575224832,770_GB,41,3,2,94462
2026-05-27T16:34:46Z,26828661,829961109504,773_GB,41,3,2,94763
2026-05-27T16:39:47Z,26963661,833297580032,776_GB,41,3,2,95064
2026-05-27T16:44:48Z,27053661,835895009280,778_GB,41,3,2,95365
2026-05-27T16:49:49Z,27113282,838219227136,781_GB,42,3,2,95666
2026-05-27T16:54:50Z,27148282,840302272512,783_GB,42,3,2,95967
2026-05-27T16:59:50Z,27228282,843095785472,785_GB,42,3,2,96268
2026-05-27T17:04:51Z,27268282,845045276672,787_GB,42,3,2,96569
2026-05-27T17:09:52Z,27358282,848318742528,790_GB,42,3,2,96870
2026-05-27T17:14:53Z,27428282,851072819200,793_GB,42,3,2,97171
2026-05-27T17:19:54Z,27473282,853457698816,795_GB,42,3,2,97471
2026-05-27T17:24:55Z,27548282,855894720512,797_GB,42,3,2,97772
2026-05-27T17:29:56Z,27598166,858053623808,799_GB,43,3,2,98073
2026-05-27T17:34:57Z,27653166,860557926400,801_GB,43,3,2,98374
2026-05-27T17:39:58Z,27708166,862879735808,804_GB,43,3,2,98675
2026-05-27T17:44:59Z,27843166,866055331840,807_GB,43,3,2,98976
2026-05-27T17:50:00Z,27928166,868876804096,809_GB,43,3,2,99277
2026-05-27T17:55:01Z,28013166,871781875712,812_GB,43,3,2,99578
2026-05-27T18:00:02Z,28123166,874922074112,815_GB,43,3,2,99879
2026-05-27T18:05:03Z,28210577,877819256832,818_GB,44,3,2,100180
2026-05-27T18:10:04Z,28295577,880662700032,820_GB,44,3,2,100481
2026-05-27T18:15:05Z,28390577,883721576448,823_GB,44,3,2,100782
2026-05-27T18:20:06Z,28475577,886711361536,826_GB,44,3,2,101084
2026-05-27T18:25:07Z,28570577,889625280512,829_GB,44,3,2,101385
2026-05-27T18:30:08Z,28650577,892308725760,831_GB,44,3,2,101686
2026-05-27T18:35:09Z,28745855,895102296064,834_GB,45,3,2,101987
2026-05-27T18:40:10Z,28785855,897011195904,835_GB,45,3,2,102288
2026-05-27T18:45:11Z,28860855,899725459456,838_GB,45,3,2,102589
2026-05-27T18:50:12Z,28945855,902234996736,840_GB,45,3,2,102890
2026-05-27T18:55:13Z,29005855,904638005248,843_GB,45,3,2,103191
2026-05-27T19:00:14Z,29050855,906847641600,845_GB,45,3,2,103492
2026-05-27T19:05:15Z,29100855,908824952832,846_GB,45,3,2,103793
2026-05-27T19:10:17Z,29180855,911675342848,849_GB,45,3,2,104094
2026-05-27T19:15:18Z,29290855,914680561664,852_GB,45,3,2,104395
2026-05-27T19:20:19Z,29355855,917157806080,854_GB,45,3,2,104696
2026-05-27T19:25:20Z,29516978,920671215616,857_GB,46,3,2,104997
2026-05-27T19:30:21Z,29611978,923394129920,860_GB,46,3,2,105298
2026-05-27T19:35:22Z,29686978,925935386624,862_GB,46,3,2,105599
2026-05-27T19:40:23Z,29761978,928715907072,865_GB,46,3,2,105900
2026-05-27T19:45:24Z,29831978,931466231808,867_GB,46,3,2,106201
2026-05-27T19:50:25Z,29927956,934309552128,870_GB,47,3,2,106503
2026-05-27T19:55:27Z,30027956,936963981312,873_GB,47,3,2,106804
2026-05-27T20:00:28Z,30127956,939650572288,875_GB,47,3,2,107105
2026-05-27T20:05:29Z,30212956,942391296000,878_GB,47,3,2,107407
2026-05-27T20:10:30Z,30332956,945496408064,881_GB,47,3,2,107708
2026-05-27T20:15:31Z,30412956,948139245568,883_GB,47,3,2,108009
2026-05-27T20:20:32Z,30502956,951086039040,886_GB,47,3,2,108310
2026-05-27T20:25:34Z,30667956,954644553728,889_GB,47,3,2,108611
2026-05-27T20:30:35Z,30789034,957647478784,892_GB,48,3,2,108912
2026-05-27T20:35:36Z,30889034,960595107840,895_GB,48,3,2,109213
